asset_id,category,asset,truth_status,source_bias,game_relevance,production_state,required_links
A011,Identity and ordinary life,Passport renewal photograph rejected because the hair obscured one eye.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A012,Identity and ordinary life,Signed parcel-delivery slip that becomes disputed because the signature differs from her contracts.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A013,Music production,Official 16-bit WAV technical sheet.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A014,Music production,Extended 32-bit WAV technical sheet.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A015,Music production,Multitrack channel list with GUIDE_M present in one version and absent in another.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A016,Music production,Studio invoice with an unexplained additional night session.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A017,Music production,Producer's handwritten comp-vocal map.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A018,Music production,Lyric sheet containing only verbs and stage directions.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A019,Music production,Autotune graph printed as part of a hostile newspaper article.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A020,Music production,Microphone locker log showing a microphone removed after the studio closed.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A021,Music production,Rejected master labelled TOO CLEAR.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A022,Music production,Backing-vocal roster with one name blacked out.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A023,Music production,Session tea order whose time contradicts the producer's public timeline.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A024,Music production,Hard-drive checksum report submitted during discovery.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A025,Music production,Fan-made spectral comparison poster.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A026,Music production,Radio edit with one inhale removed before the phrase supplied by Karlytta.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A027,Music production,Instrumental version used at a state reception.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A028,Music production,Acapella leak whose room tone suggests a different studio.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A029,Live performance,Ticket for a concert cancelled after the audience had already entered.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A030,Live performance,Seat map with the presidential box removed from the public plan.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A031,Live performance,Tour laminate granting access to every room except 'Blue 4'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A032,Live performance,Set list where KARLYTTA is written twice and crossed out once.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A033,Live performance,Promoter email requiring the corridor behind the stage to remain locked.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A034,Live performance,Audience video that continues after the broadcast cuts away.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A035,Live performance,Confetti strip printed with a sentence nobody remembers approving.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A036,Live performance,Broken in-ear monitor preserved by a fan.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A037,Live performance,Hotel key card found inside a costume boot.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A038,Live performance,Stage manager's cue sheet with a six-minute unscheduled blackout.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A039,Live performance,Emergency weather notice printed on the back of VIP wristbands.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A040,Live performance,Tour bus fuel receipt placing the convoy somewhere the official schedule denies.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A041,Press and broadcast,Breaking-news article announcing the lawsuit.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A042,Press and broadcast,Correction notice that changes 'assault' to 'alleged coercion' without explaining why.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A043,Press and broadcast,Television lower-third calling her 'the nation's daughter' during a legal interview.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A044,Press and broadcast,Raw interview transcript beside the six-minute broadcast cut.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A045,Press and broadcast,Internal memo ranking possible facial expressions for the thumbnail.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A046,Press and broadcast,Radio playlist showing her protest song between advertisements for state bonds.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A047,Press and broadcast,Obituary template accidentally published while she is alive.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A048,Press and broadcast,Newspaper style guide explaining when Karlytta may be called an artist versus entertainer.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A049,Press and broadcast,Press-pool seating chart that keeps independent journalists behind a camera crane.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A050,Press and broadcast,Auto-generated subtitle file that turns 'ne' into 'da'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A051,Press and broadcast,Morning-show makeup release form presented as consent to archival reuse.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A052,Press and broadcast,Broadcast-delay log documenting a seventeen-second gap during her live statement.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A053,Law and bureaucracy,Public cover page of Karlytta v. Varda et al.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A054,Law and bureaucracy,Sealed exhibit index with descriptive titles visible but contents hidden.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A055,Law and bureaucracy,Motion arguing that song lyrics are context rather than testimony.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A056,Law and bureaucracy,Presidency's motion to dismiss on jurisdiction and limitation grounds.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A057,Law and bureaucracy,Chain-of-custody form for the extended audio file.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A058,Law and bureaucracy,Subpoena for RP Network edit decision lists.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A059,Law and bureaucracy,Protective order covering medical records and private addresses.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A060,Law and bureaucracy,Redacted travel manifest with the same passenger counted under two categories.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A061,Law and bureaucracy,Security protocol defining a private performance as an official function.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A062,Law and bureaucracy,Tax-audit opening letter sent one day after she refused a broadcast.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A063,Law and bureaucracy,Trademark certificate for the doubled T in KARLYTTA.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A064,Law and bureaucracy,Copyright ownership chart with three mutually exclusive claimants.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A065,Fan culture,Fan-club newsletter apologizing for believing a tabloid story.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A066,Fan culture,Spreadsheet of every time Karlytta said 'I'm fine' on camera.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A067,Fan culture,Bootleg DVD menu designed like a hospital monitor.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A068,Fan culture,Handmade concert bracelet later submitted as timestamp evidence.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A069,Fan culture,Forum poll asking whether the extended track is authentic.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A070,Fan culture,Guide to identifying real signatures from assistant-signed merchandise.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A071,Fan culture,Map of murals that disappear after municipal cleaning campaigns.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A072,Fan culture,Drag performance cue sheet translating her vocal gestures into choreography.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A073,Fan culture,Fan memorial held for a cancelled album rather than a person.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A074,Fan culture,Archive rule forbidding diagnosis of Karlytta from clips.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A075,Fan culture,Children's talent-show costume pattern based on the KARLYTTA cover.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A076,Fan culture,Thread documenting every ownership takedown against the same leak.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A077,Political use,Campaign video using her chorus without vocal credits.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A078,Political use,Parliamentary transcript where three parties quote the same lyric differently.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A079,Political use,State reception menu naming a dessert after her without permission.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A080,Political use,Photograph of a protest sign that supports her and insults her in the same sentence.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A081,Political use,Police crowd estimate for a concert treated as an election forecast.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A082,Political use,Ministry memo proposing her as a 'continuity voice' during emergency broadcasts.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A083,Political use,Opposition poster that edits her mouth closed with a strip of flag.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A084,Political use,Presidential speech praising her courage without naming the allegation.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A085,Political use,Municipal permit denied because a tribute event is classified as political assembly.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A086,Political use,Polling table measuring whether citizens believe Karlytta more than institutions.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A087,Political use,Leaked briefing recommending that officials call her 'confused' rather than 'lying'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A088,Political use,Archive deletion request justified as national-security housekeeping.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A089,Health and the Doctor bridge,Clinic access log showing non-clinical users opening her file.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A090,Health and the Doctor bridge,Appointment card with the specialty obscured by water damage.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A091,Health and the Doctor bridge,Pharmacy bag visible in a paparazzi photograph but unreadable.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A092,Health and the Doctor bridge,Consent form signed after the recorded procedure start time.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A093,Health and the Doctor bridge,Voice-rest instruction later mocked in a television sketch.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A094,Health and the Doctor bridge,Anonymous laboratory sample identifier appearing in a municipal procurement file.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A095,Health and the Doctor bridge,Doctor's note stating only 'patient requests no public visitor'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A096,Health and the Doctor bridge,Hospital corridor CCTV index with a missing eleven-minute interval.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A097,Health and the Doctor bridge,Security call log describing a medical ward as a venue.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A098,Health and the Doctor bridge,Insurance refusal framed as a publicity dispute.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A099,Health and the Doctor bridge,One duplicate patient number linking two otherwise separate archives.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A100,Health and the Doctor bridge,Main-game collectible: a discarded access badge whose owner watched NARODNA KUĆA during a night shift.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A101,Reality institution NARODNA KUĆA,Three-hour special titled WE WILL NOT SPECULATE.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A102,Reality institution NARODNA KUĆA,Confessional booth release form granting perpetual rights to distress.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A103,Reality institution NARODNA KUĆA,Voting screen where 'believe her' is a paid option and 'wait for court' is free.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A104,Reality institution NARODNA KUĆA,Host earpiece transcript directing when to hug a guest.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A105,Reality institution NARODNA KUĆA,House rules prohibiting discussion of pending litigation except during sponsored segments.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A106,Reality institution NARODNA KUĆA,Weekly task requiring contestants to reenact a celebrity scandal.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A107,Reality institution NARODNA KUĆA,Audience applause stem reused across incompatible emotional moments.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A108,Reality institution NARODNA KUĆA,"Producer board classifying guests as victim, villain, witness or weather.",unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A109,Reality institution NARODNA KUĆA,Luxury-room camera map with one blind spot reserved for officials.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A110,Reality institution NARODNA KUĆA,Charity telethon total that includes government advertising purchases.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A111,Reality institution NARODNA KUĆA,Contestant diary describing the show as safer than ordinary housing.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A112,Reality institution NARODNA KUĆA,Exit interview where a participant asks whether anything happened when cameras were off.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A113,Career and high/low culture,FRIENDLY STAKES poker-table programme booklet.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A114,Career and high/low culture,FORT UMBRALIS premiere ticket stamped TECHNICAL REVISION.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A115,Career and high/low culture,MEMORIA MARIS opera-film libretto with Karlytta's handwritten cuts.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A116,Career and high/low culture,ZRAKOPERKA emergency-broadcast cue sheet.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A117,Career and high/low culture,THE KING rehearsal photograph where the crown is held by a stagehand.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A118,Career and high/low culture,PIRATES opera customs declaration for a prop weapon shipment.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A119,Career and high/low culture,ANESTEZIJA pharmacy-window promotional display.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A120,Career and high/low culture,Academic conference panel titled 'Beyond Kitsch' that forgets to invite her.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A121,Career and high/low culture,National prize rejection letter followed by a request that she perform at the ceremony.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A122,Career and high/low culture,Conservatory syllabus using her song anonymously as an example of vocal processing.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A123,Career and high/low culture,Jazz-club invoice proving FRIENDLY STAKES was recorded live.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A124,Career and high/low culture,Museum label describing her costume more seriously than her authorship.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A125,Commerce and material traces,Perfume sample called ONE HUNDRED SELVES.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A126,Commerce and material traces,Counterfeit tour shirt with the lawsuit date printed years too early.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A127,Commerce and material traces,Supermarket loyalty card promotion withdrawn after one afternoon.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A128,Commerce and material traces,Phone-company commercial that turns 'Me no likey' into a customer-service slogan.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A129,Commerce and material traces,Insurance advertisement using her face beside the phrase YOU ARE COVERED.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A130,Commerce and material traces,Limited-edition ticket whose ink transfers onto skin.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A131,Commerce and material traces,Hotel minibar bill with every item marked complimentary except water.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A132,Commerce and material traces,Merchandise refund policy excluding 'changes in public meaning'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A133,Commerce and material traces,Broken acrylic award repaired with visible office tape.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A134,Commerce and material traces,Warehouse inventory of unsold dolls that speak only the male response line.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A135,Commerce and material traces,Luxury-brand contract requiring her not to appear tired.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A136,Commerce and material traces,Restaurant receipt where a security detail is billed as 'family'.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A137,"Absence, deletion and contradiction",Empty archive folder whose index says it contains twelve files.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A138,"Absence, deletion and contradiction",Press photograph with a person cropped out but their hand still visible.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A139,"Absence, deletion and contradiction",Video whose audio begins seventeen seconds before the image.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A140,"Absence, deletion and contradiction",Meeting minutes that skip from item four to item seven.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A141,"Absence, deletion and contradiction",Two identical legal PDFs with different redactions.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A142,"Absence, deletion and contradiction",Website cache showing a statement before its alleged writing time.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A143,"Absence, deletion and contradiction",Deleted fan account quoted by official media after deletion.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A144,"Absence, deletion and contradiction",Tour poster where a venue is replaced without changing the map.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A145,"Absence, deletion and contradiction",Correction page that corrects nothing stated in the original article.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A146,"Absence, deletion and contradiction",Transcript footnote referring to a question absent from the transcript.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A147,"Absence, deletion and contradiction",Security badge record for a door that the building plan says does not exist.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
A148,"Absence, deletion and contradiction",Mastering report signed by a technician who had left the company.,unassigned,to define,0 optional / 1 atmospheric / 2 thematic / 3 playable,backlog,"Link to at least one claim, one person and one other artifact."
